,paperId,abstract,authors,citationCount,citationStyles,citations,journal,referenceCount,title,year
11,00da50ad44be09f058550ac27e964882a09b1940,,"[{'authorId': '1806598', 'name': 'Hector Geffner'}]",5.0,"{'bibtex': '@Inproceedings{Geffner2010HeuristicsPA,\n author = {Hector Geffner},\n title = {Heuristics, Planning and Cognition},\n year = {2010}\n}\n'}",,,54.0,"Heuristics, Planning and Cognition",2010.0
12,00ee7355bd289a0e70e5090e0b31b685bb39d695,"To recognize and understand a person's emotion has been known as one of the most important issue in human-computer interaction. In this paper, we present a multimodal system that supports emotion recognition from both visual and acoustic feature analysis. Our main achievement is that with this bimodal method, we can effectively extend the recognized emotion categories compared to when only visual or acoustic feature analysis works alone. We also show that by carefully cooperating bimodal features, the recognition precision of each emotion category will exceed the limit set up by the single modality, both visual and acoustic. Moreover, we believe our system is closer to real human perception and experience and hence will make emotion recognition closer to practical application in the future","[{'authorId': '3288141', 'name': 'Cheng-Yao Chen'}, {'authorId': '2108715669', 'name': 'Yue Huang'}, {'authorId': '1716507', 'name': 'P. Cook'}]",32.0,"{'bibtex': '@Article{Chen2005VisualAcousticER,\n author = {Cheng-Yao Chen and Yue Huang and P. Cook},\n journal = {2005 IEEE International Conference on Multimedia and Expo},\n pages = {1468-1471},\n title = {Visual/Acoustic Emotion Recognition},\n year = {2005}\n}\n'}",,"{'pages': '1468-1471', 'name': '2005 IEEE International Conference on Multimedia and Expo'}",11.0,Visual/Acoustic Emotion Recognition,2005.0
13,00fa43776e890fbef5e1074b0b22e14b3b608e1d,,"[{'authorId': '143607713', 'name': 'Christine L. Lisetti'}, {'authorId': '2348728', 'name': 'E. Hudlicka'}]",12.0,"{'bibtex': '@Inproceedings{Lisetti2015WhyAH,\n author = {Christine L. Lisetti and E. Hudlicka},\n title = {Why and How to Build Emotion-Based Agent Architectures},\n year = {2015}\n}\n'}",,"{'volume': '', 'name': ''}",0.0,Why and How to Build Emotion-Based Agent Architectures,2015.0
15,01005b0cee748cefff2074912d23d6df46339463,"The results of a gene therapy trial for a disease called spinal muscular atrophy that gradually paralyzes infants have blown away gene therapy researchers, marking one of the once-troubled field9s most dramatic successes yet. All 15 babies treated, expected to die by age 2, are alive at 20 months or older, and most can sit up, according to a report this week. The news adds to the rising fortunes of gene therapy. But the study also breaks ground because it demonstrates the power of a virus carrying a therapeutic gene that, infused into a vein, can carry its genetic cargo straight to the central nervous system, across the so-called blood-brain barrier. The new treatment9s apparent safety and success is emboldening other researchers to use gene therapy delivered into a vein or the spine to treat rare childhood neurological and muscular diseases, and even common adult disorders such as Parkinson9s.","[{'authorId': '144662861', 'name': 'J. Kaiser'}]",15.0,"{'bibtex': '@Article{Kaiser2017ASC,\n author = {J. Kaiser},\n journal = {Science},\n pages = {\n          582-585\n        },\n title = {A second chance.},\n volume = {358 6363},\n year = {2017}\n}\n'}",,"{'volume': '358 6363', 'pages': '\n          582-585\n        ', 'name': 'Science'}",0.0,A second chance.,2017.0
16,010a73b65480dd48ac90b831630fb96c061ffff7,"We describe the creation of a film library designed for researchers interested in positive (amusing), negative (repulsive), mixed (amusing and repulsive) and neutral emotional states. Three hundred 20- to 33-second film clips videotaped by amateurs were selected from video-hosting websites and screened in laboratory studies by 75 female participants on self-reported amusement and repulsion (Experiments 1 and 2). On the basis of pre-defined cut-off values, 51 positive, 39 negative, 59 mixed and 50 neutral film clips were selected. These film clips were then presented to 411 male and female participants in a large online study to identify film clips that reliably induced the target emotions (Experiment 3). Depending on the goal of the study, researchers may choose positive, negative, mixed or neutral emotional film clips on the basis of Experiments 1 and 2 or Experiment 3 ratings.","[{'authorId': '2255000395', 'name': 'Andrea C. Samson'}, {'authorId': '3279362', 'name': 'Sylvia D. Kreibig'}, {'authorId': '47465771', 'name': 'Blake Soderstrom'}, {'authorId': '2255248464', 'name': 'A. Ayanna Wade'}, {'authorId': '2254966886', 'name': 'James J. Gross'}]",100.0,"{'bibtex': '@Article{Samson2016ElicitingPN,\n author = {Andrea C. Samson and Sylvia D. Kreibig and Blake Soderstrom and A. Ayanna Wade and James J. Gross},\n journal = {Cognition and Emotion},\n pages = {827 - 856},\n title = {Eliciting positive, negative and mixed emotional states: A film library for affective scientists},\n volume = {30},\n year = {2016}\n}\n'}",,"{'volume': '30', 'pages': '827 - 856', 'name': 'Cognition and Emotion'}",35.0,"Eliciting positive, negative and mixed emotional states: A film library for affective scientists",2016.0
17,013589f4feac0ce46856c67e4f7cd2125376e68c,"We describe an initial prototype of a holodeck- like environment that we have created for the Mission Rehearsal Exercise Project. The goal of the project is to create an experience learning system where the participants are immersed in an environment where they can encounter the sights, sounds, and circumstances of real-world scenarios. Virtual humans act as characters and coaches in an interactive story with pedagogical goals.","[{'authorId': '1812270', 'name': 'R. Hill'}, {'authorId': '69014762', 'name': 'J. Gratch'}, {'authorId': '145834590', 'name': 'W. Johnson'}, {'authorId': '3074189', 'name': 'C. Kyriakakis'}, {'authorId': '2407818', 'name': 'C. LaBore'}, {'authorId': '2178316', 'name': 'Richard Lindheim'}, {'authorId': '1788771', 'name': 'S. Marsella'}, {'authorId': '35080984', 'name': 'D. Miraglia'}, {'authorId': '118985925', 'name': 'B. Moore'}, {'authorId': '30625490', 'name': 'Jackie Morie'}, {'authorId': '2019292', 'name': 'J. Rickel'}, {'authorId': '2096971', 'name': 'M. Thiébaux'}, {'authorId': '1879270', 'name': 'Larry Tuch'}, {'authorId': '143660353', 'name': 'R. Whitney'}, {'authorId': '47722403', 'name': 'J. Douglas'}, {'authorId': '1684040', 'name': 'W. Swartout'}]",280.0,"{'bibtex': '@Inproceedings{Hill2001TowardTH,\n author = {R. Hill and J. Gratch and W. Johnson and C. Kyriakakis and C. LaBore and Richard Lindheim and S. Marsella and D. Miraglia and B. Moore and Jackie Morie and J. Rickel and M. Thiébaux and Larry Tuch and R. Whitney and J. Douglas and W. Swartout},\n pages = {409-416},\n title = {Toward the holodeck: integrating graphics, sound, character and story},\n year = {2001}\n}\n'}",,{'pages': '409-416'},17.0,"Toward the holodeck: integrating graphics, sound, character and story",2001.0
18,01396f643a02a6a04749da068adc266d9c23de99,,"[{'authorId': '1422621837', 'name': 'Martin Gérin-Lajoie'}, {'authorId': '1852074', 'name': 'C. Richards'}, {'authorId': '40228054', 'name': 'J. Fung'}, {'authorId': '1862105', 'name': 'B. McFadyen'}]",134.0,"{'bibtex': '@Article{Gérin-Lajoie2008CharacteristicsOP,\n author = {Martin Gérin-Lajoie and C. Richards and J. Fung and B. McFadyen},\n journal = {Gait & posture},\n pages = {\n          239-47\n        },\n title = {Characteristics of personal space during obstacle circumvention in physical and virtual environments.},\n volume = {27 2},\n year = {2008}\n}\n'}",,"{'volume': '27 2', 'pages': '\n          239-47\n        ', 'name': 'Gait & posture'}",20.0,Characteristics of personal space during obstacle circumvention in physical and virtual environments.,2008.0
20,014391a96dac9a6b637ff2a0570bd30fae4a8d49,"The design, development and testing of intelligent disaster detection and alerting systems pose a set of non-trivial problems. Not only are such systems difficult to design as they need to accurately predict real-world outcomes using a distributed sensing of various parameters, they also need to generate an optimal number of timely alerts when the actual disaster strikes. In this paper, we propose the SimConnector Emulator, a novel approach for the testing of real-world systems using agent-based simulations as a means of validation. The basic idea is to use agent-based simulations to generate event data to allow the testing of responses of the software system to real-time events. As proof of concept, we have developed a Forest Fire Disaster Detection and Alerting System, which uses Intelligent Decision Support based on an internationally recognized Fire rating index, namely the Fire Weather Index (FWI). Results of extensive testing demonstrate the effectiveness of the SimCon-nector approach for the development and testing of real-time applications, in general and disaster detection/alerting systems, in particular.","[{'authorId': '1795560', 'name': 'M. Niazi'}, {'authorId': '2073401', 'name': 'Qasim Siddique'}, {'authorId': '144664815', 'name': 'A. Hussain'}, {'authorId': '1691577', 'name': 'G. Fortino'}]",4.0,"{'bibtex': '@Article{Niazi2011SimConnectorAA,\n author = {M. Niazi and Qasim Siddique and A. Hussain and G. Fortino},\n journal = {2011 Federated Conference on Computer Science and Information Systems (FedCSIS)},\n pages = {659-665},\n title = {SimConnector: An approach to testing disaster-alerting systems using agent based simulation models},\n year = {2011}\n}\n'}",,"{'pages': '659-665', 'name': '2011 Federated Conference on Computer Science and Information Systems (FedCSIS)'}",31.0,SimConnector: An approach to testing disaster-alerting systems using agent based simulation models,2011.0
21,01b36f49b6bb03a5cc51ca4deee2de9be88fc274,,"[{'authorId': '1399283111', 'name': 'H. Kose-Bagci'}, {'authorId': '2529764', 'name': 'R. Yorganci'}, {'authorId': '2652930', 'name': 'Esra H. Algan'}, {'authorId': '1700812', 'name': 'D. Syrdal'}]",40.0,"{'bibtex': '@Article{Kose-Bagci2012EvaluationOT,\n author = {H. Kose-Bagci and R. Yorganci and Esra H. Algan and D. Syrdal},\n journal = {International Journal of Social Robotics},\n pages = {273-283},\n title = {Evaluation of the Robot Assisted Sign Language Tutoring Using Video-Based Studies},\n volume = {4},\n year = {2012}\n}\n'}",,"{'volume': '4', 'pages': '273-283', 'name': 'International Journal of Social Robotics'}",20.0,Evaluation of the Robot Assisted Sign Language Tutoring Using Video-Based Studies,2012.0
22,01b9736851e561a3140b5f9e365cbbc3956ae221,,"[{'authorId': '145074235', 'name': 'John Hart'}, {'authorId': '145438097', 'name': 'J. Gratch'}, {'authorId': '1788771', 'name': 'S. Marsella'}]",17.0,"{'bibtex': '@Inproceedings{Hart2013HowVR,\n author = {John Hart and J. Gratch and S. Marsella},\n title = {How virtual reality training can win friends and influence people},\n year = {2013}\n}\n'}",,"{'volume': '', 'name': ''}",1.0,How virtual reality training can win friends and influence people,2013.0
23,021183a31462a141c276d14a884ac7ccccc80fa7,,"[{'authorId': '104928470', 'name': 'Jay Hall'}, {'authorId': '143792320', 'name': 'W. Watson'}]",311.0,"{'bibtex': '@Article{Hall1970TheEO,\n author = {Jay Hall and W. Watson},\n journal = {Human Relations},\n pages = {299 - 317},\n title = {The Effects of a Normative Intervention on Group Decision-Making Performance},\n volume = {23},\n year = {1970}\n}\n'}",,"{'volume': '23', 'pages': '299 - 317', 'name': 'Human Relations'}",7.0,The Effects of a Normative Intervention on Group Decision-Making Performance,1970.0
24,025ae915106e92d397dbc1f1486b56fe0212b339,"It will not be possible to apply exactly the same teaching process to the machine as to a normal child. It will not, for instance, be provided with legs, so that it could not be asked to go out and fill the coal scuttle. Possibly it might not have eyes. But however well these deficiencies might be overcome by clever engineering, one could not send the creature to school without the other children making excessive fun of it. —Alan Turing, ""Computing Machinery and Intelligence,"" 1950","[{'authorId': '145431806', 'name': 'Justine Cassell'}]",284.0,"{'bibtex': '@Inproceedings{Cassell2001NudgeNW,\n author = {Justine Cassell},\n pages = {1-27},\n title = {Nudge nudge wink wink: elements of face-to-face conversation for embodied conversational agents},\n year = {2001}\n}\n'}",,"{'volume': '', 'pages': '1-27', 'name': ''}",55.0,Nudge nudge wink wink: elements of face-to-face conversation for embodied conversational agents,2001.0
25,025fe77b606e2c78bd4ba0865de0070d784f9420,"Le modele Satisfaction-Altruisme se situe a la rencontre du domaine des systemes multi-agents reactifs (SMAr) et de la robotique mobile. Il permet d'introduire des comportements cooperatifs individuels dans l'approche de resolution collective de probleme. Apres avoir defini ces differents concepts, nous analysons les situations de cooperation. Nous en deduisons deux etats de satisfaction de l'agent: la satisfaction personnelle, qui est une mesure de la progression des actions, et la satisfaction interactive qui evalue les interactions avec le voisinage (gene, aide). Les agents peuvent alors s'influencer en propageant des signaux repulsifs ou attractifs declencheurs de reactions altruistes. Cette architecture est evaluee en simulation sur des problemes distribues (conflits spatiaux, robots fourrageurs) montrant le caractere emergent et auto-adaptatif des solutions. Le modele est ensuite etendu par l'introduction d'un module d'apprentissage social. Dans le cadre d'une implementation reelle, nous proposons un protocole de communication generique dedie aux SMA situes. Enfin, le modele est valide experimentalement par la resolution de conflits spatiaux entre robots mobiles autonomes.","[{'authorId': '1807441', 'name': 'Olivier Simonin'}]",1.0,"{'bibtex': '@Inproceedings{Simonin2010LEMS,\n author = {Olivier Simonin},\n title = {LE MODELE SATISFACTION-ALTRUISME},\n year = {2010}\n}\n'}",,"{'volume': '', 'name': ''}",0.0,LE MODELE SATISFACTION-ALTRUISME,2010.0
26,025fed19700b79839ca32385b26ea55b55fdbcb3,,"[{'authorId': '2993393', 'name': 'Valentin Lungu'}]",6.0,"{'bibtex': '@Inproceedings{Lungu2013ArtificialES,\n author = {Valentin Lungu},\n pages = {207-221},\n title = {Artificial Emotion Simulation Model and Agent Architecture: Extended},\n year = {2013}\n}\n'}","[{'paperId': '7a3df4d5094a5d113c45334204abccd3c92be8bc', 'title': 'An approach for emotions and behavior modeling in a crowd in the presence of rare events'}, {'paperId': 'a86e3d64cb51bffb8c3760888a7b474d967ac3e0', 'title': 'Approaches to Modeling the Emotional Aspects of a Crowd'}, {'paperId': '7bd21054c359904a9db40511af409d0385e43654', 'title': 'Fuzzy rule based voice emotion control for user demand speech generation of emotion robot'}, {'paperId': 'fc632427b9a69bad70f4a81df720d7df058e0a9a', 'title': 'Personality and Emotion in Strong-Story Narrative Planning'}, {'paperId': '65f707c3ef8b0929d3e9f8d3ce384f71bee2a6f2', 'title': 'Could Emotions Be Modelled through Information Processing'}, {'paperId': '1f456e15207119c77025f32b78dafb7da2133dbc', 'title': 'Using Emotion as Motivation in the Newtonian Emotion System'}]","{'name': '', 'pages': '207-221', 'volume': ''}",9.0,Artificial Emotion Simulation Model and Agent Architecture: Extended,2013.0
27,02b0555613f38ffa99ce219509c0836d48cb546a,,"[{'authorId': '3098701', 'name': 'Peter A. M. Ruijten'}, {'authorId': '3026039', 'name': 'C. Midden'}, {'authorId': '145960497', 'name': 'Jaap Ham'}]",9.0,"{'bibtex': ""@Article{Ruijten2013IDK,\n author = {Peter A. M. Ruijten and C. Midden and Jaap Ham},\n booktitle = {International Conference on Persuasive Technology},\n pages = {192-197},\n title = {I Didn't Know That Virtual Agent Was Angry at Me: Investigating Effects of Gaze Direction on Emotion Recognition and Evaluation},\n year = {2013}\n}\n""}","[{'paperId': 'f1ef8b6b5fc64a0387be4514c45a15a7f02bb306', 'title': 'A Review of Eye Gaze in Virtual Agents, Social Robotics and HCI: Behaviour Generation, User Interaction and Perception'}, {'paperId': '8732f63151f515bee72c9852f8380e43095e9062', 'title': 'Enabling motivated believable agents with reinforcement learning'}, {'paperId': '126de4fd87129139cfab52f35f344d0ef7158c00', 'title': 'The Ultimatum Game as Measurement Tool for Anthropomorphism in Human-Robot Interaction'}, {'paperId': '3cf7a808c56d9b2dc4542d191c0ba2b954b61c8f', 'title': 'Midden Persuasive technology for a sustainable society'}, {'paperId': 'f9f6ee937ef3abeae5eb62d6b37f9e8492a97508', 'title': 'Learned Behavior: Enabling Believable Virtual Characters through Reinforcement'}, {'paperId': '6f3d1a6f3af6e49b891c8fa148cd39cdce00651b', 'title': 'Persuasive technology for a sustainable society'}, {'paperId': '0334445198de9ab4545c0647169eb93ae73a9ae6', 'title': 'Persuasive technology for a sustainable society Midden'}, {'paperId': '8f65b1d7b7a7b7d62815e3fec5455090bb7c734b', 'title': 'The Influence of Oxytocin on Older Adults’ Emotion Processing'}, {'paperId': 'db9cc9595ce5dd2e48e0e1ef2a1437ec86bd8eb9', 'title': 'Reinforcement learning with motivations for realistic agents'}]",{'pages': '192-197'},10.0,I Didn't Know That Virtual Agent Was Angry at Me: Investigating Effects of Gaze Direction on Emotion Recognition and Evaluation,2013.0
