,paperId,title,abstract,year,referenceCount,citationCount,journal,citationStyles,authors
11,00ee7355bd289a0e70e5090e0b31b685bb39d695,Visual/Acoustic Emotion Recognition,"To recognize and understand a person's emotion has been known as one of the most important issue in human-computer interaction. In this paper, we present a multimodal system that supports emotion recognition from both visual and acoustic feature analysis. Our main achievement is that with this bimodal method, we can effectively extend the recognized emotion categories compared to when only visual or acoustic feature analysis works alone. We also show that by carefully cooperating bimodal features, the recognition precision of each emotion category will exceed the limit set up by the single modality, both visual and acoustic. Moreover, we believe our system is closer to real human perception and experience and hence will make emotion recognition closer to practical application in the future",2005.0,11.0,31.0,"{'pages': '1468-1471', 'name': '2005 IEEE International Conference on Multimedia and Expo'}","{'bibtex': '@Article{Chen2005VisualAcousticER,\n author = {Cheng-Yao Chen and Yue Huang and P. Cook},\n journal = {2005 IEEE International Conference on Multimedia and Expo},\n pages = {1468-1471},\n title = {Visual/Acoustic Emotion Recognition},\n year = {2005}\n}\n'}","[{'authorId': '3288141', 'name': 'Cheng-Yao Chen'}, {'authorId': '2108715669', 'name': 'Yue Huang'}, {'authorId': '1716507', 'name': 'P. Cook'}]"
12,00fa43776e890fbef5e1074b0b22e14b3b608e1d,Why and How to Build Emotion-Based Agent Architectures,,2015.0,0.0,12.0,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Lisetti2015WhyAH,\n author = {Christine L. Lisetti and E. Hudlicka},\n title = {Why and How to Build Emotion-Based Agent Architectures},\n year = {2015}\n}\n'}","[{'authorId': '143607713', 'name': 'Christine L. Lisetti'}, {'authorId': '2348728', 'name': 'E. Hudlicka'}]"
13,0104a10df21d6f1961bf8b6626d032b1ed58292e,The SAMS: Smartphone Addiction Management System and Verification,,2013.0,21.0,254.0,"{'volume': '38', 'pages': '1-10', 'name': 'Journal of Medical Systems'}","{'bibtex': '@Article{Lee2013TheSS,\n author = {Heyoung Lee and Hee-Su Ahn and S. Choi and Wan-Young Choi},\n journal = {Journal of Medical Systems},\n pages = {1-10},\n title = {The SAMS: Smartphone Addiction Management System and Verification},\n volume = {38},\n year = {2013}\n}\n'}","[{'authorId': '3311896', 'name': 'Heyoung Lee'}, {'authorId': '143949749', 'name': 'Hee-Su Ahn'}, {'authorId': '3999330', 'name': 'S. Choi'}, {'authorId': '2115124171', 'name': 'Wan-Young Choi'}]"
14,0107286316efe0c47cc6e01517a8240d28b3879a,How about laughter? Perceived naturalness of two laughing humanoid robots,"As humanoid robots will have to behave socially adequate in a future society, we started to investigate laughter as an important para-verbal signal influencing relationships among humans quite easily. As a first step we investigate, how humanoid robots might laugh within a situation, which is suitable for laughter. Given the variety of human laughter, do people prefer a certain style for a robot's laughter? And if yes, how does a robot's outer appearance affect this preference, if at all? Accordingly, we combined six recordings of female laughter with body movements for two different humanoid robots with the aim to evaluate their perceived naturalness using two types of video-based surveys. We not only found that people indeed prefer one type of laughter when being forced to choose, but the results also suggest significant differences in the perceived naturalness of laughter with regard to the participant's cultural background. The outer appearance seems to change the perceived naturalness of a humanoid robot's laughter only on a global level. It is evident, however, that further research on this rather unexplored topic is needed as much as it promises to provide valuable means to support the development of social robots.",2009.0,14.0,16.0,"{'pages': '1-6', 'name': '2009 3rd International Conference on Affective Computing and Intelligent Interaction and Workshops'}","{'bibtex': '@Article{Becker-Asano2009HowAL,\n author = {C. Becker-Asano and T. Kanda and C. Ishi and H. Ishiguro},\n journal = {2009 3rd International Conference on Affective Computing and Intelligent Interaction and Workshops},\n pages = {1-6},\n title = {How about laughter? Perceived naturalness of two laughing humanoid robots},\n year = {2009}\n}\n'}","[{'authorId': '1403827243', 'name': 'C. Becker-Asano'}, {'authorId': '2058999236', 'name': 'T. Kanda'}, {'authorId': '1798428', 'name': 'C. Ishi'}, {'authorId': '1687808', 'name': 'H. Ishiguro'}]"
15,010d81d13b85b38477c1451a600aa433b1e32688,DER SAARBRÜCKER PERSÖNLICHKEITSFRAGEBOGEN SPF(IRI) ZUR MESSUNG VON EMPATHIE: Psychometrische Evaluation der deutschen Version des Interpersonal Reactivity Index,"Der Interpersonal Reactivity Index (IRI) ist einer der am haufigsten in der Praxis eingesetzte Fragebogen zur Messung von Empathie. Die wenigen deutschen Ubersetzungen weisen allerdings ahnliche testtheoretischen Schwachen auf wie das Original (vgl. dazu z.B. Enzmann, 1996; Beven, 2004; Lauterbach & Hosser, 2007). Nach einer mehrfachen Uberarbeitung aufgrund faktorenanalytischer Ergeb-nisse und marginalen Umformulierungen in der Ubersetzung konnten wir eine deutsche Version der IRI erstellen, die gute Kennwerte in den Bereichen der Reliabilitat, der Validitat und der Itemtrennscharfen aufweist. 
The Interpersonality Reactivity Index (IRI) is one of the most used questionnaires in practice to the measurement of empathy. However, all German translations show similar test-theoretical weaknesses (e.g. Enzmann, 1996; Beven, 2004; Lauterbach & Hosser, in 2007). After a multiple reworking on account of factor-analytic results and marginal changes in the translation we could provide a German version of the IRI which shows good values in the reliability, factorial validity and the item analyses",2009.0,0.0,210.0,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Paulus2009DERSP,\n author = {Christoph G. Paulus},\n title = {DER SAARBRÜCKER PERSÖNLICHKEITSFRAGEBOGEN SPF(IRI) ZUR MESSUNG VON EMPATHIE: Psychometrische Evaluation der deutschen Version des Interpersonal Reactivity Index},\n year = {2009}\n}\n'}","[{'authorId': '97538216', 'name': 'Christoph G. Paulus'}]"
16,0110a8756ae09e0b0ee3a51d47ed14ad4e2841aa,Skilled The Trouble With Friendly Faces: Performance With a Supportive Audience,"In 3 experiments, supportive audiences were associated with unexpected performance decrements (i.e., ""choking"" under pressure). On a difficult, skill-based task, participants were more likely to fail when observed by supportive audiences than when observed by nonsupportive audiences. When the criterion for success was easy, supportive audiences had no effect. With a difficult criterion, supportive audiences elicited cautious, protective strategies that were associated with poor performance: Speed decreased without improving accuracy. Despite impairments caused by supportive audiences, performers found supportive audiences more helpful and less stressful than neutral or adversarial audiences, and participants believed (wrongly) that they performed better with a supportive audience. Results suggest that people are not aware of debilitating effects of supportive audiences and may opt for emotional comfort rather than objective success.",1998.0,79.0,2.0,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Butler1998SkilledTT,\n author = {Jennifer L. Butler and Roy Baumeister},\n title = {Skilled The Trouble With Friendly Faces: Performance With a Supportive Audience},\n year = {1998}\n}\n'}","[{'authorId': '152614719', 'name': 'Jennifer L. Butler'}, {'authorId': '48213933', 'name': 'Roy Baumeister'}]"
17,012e38687170cbe081ebf52aba42ec4181d37154,German Translation of the Multimodal Presence Scale,,2018.0,0.0,6.0,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Volkmann2018GermanTO,\n author = {Torben Volkmann and Daniel Wessel and Nicole Jochems and T. Franke},\n title = {German Translation of the Multimodal Presence Scale},\n year = {2018}\n}\n'}","[{'authorId': '2912133', 'name': 'Torben Volkmann'}, {'authorId': '144487430', 'name': 'Daniel Wessel'}, {'authorId': '3175598', 'name': 'Nicole Jochems'}, {'authorId': '144935541', 'name': 'T. Franke'}]"
18,01396f643a02a6a04749da068adc266d9c23de99,Characteristics of personal space during obstacle circumvention in physical and virtual environments.,,2008.0,20.0,132.0,"{'volume': '27 2', 'pages': '\n          239-47\n        ', 'name': 'Gait & posture'}","{'bibtex': '@Article{Gérin-Lajoie2008CharacteristicsOP,\n author = {Martin Gérin-Lajoie and C. Richards and J. Fung and B. McFadyen},\n journal = {Gait & posture},\n pages = {\n          239-47\n        },\n title = {Characteristics of personal space during obstacle circumvention in physical and virtual environments.},\n volume = {27 2},\n year = {2008}\n}\n'}","[{'authorId': '1422621837', 'name': 'Martin Gérin-Lajoie'}, {'authorId': '1852074', 'name': 'C. Richards'}, {'authorId': '40228054', 'name': 'J. Fung'}, {'authorId': '1862105', 'name': 'B. McFadyen'}]"
20,0151b3f29d48c8b1e03d2042feed7847e42dfe57,Analysis of emotional speech prosody in terms of part of speech tags,"Representation of emotions in terms of acoustic features of well deﬁned lexical elements is desired for development of emotional speech processing systems. For that purpose, in this paper, the interaction between emotions and part of speech (POS) tags is investigated. Utterances from 3 speakers in angry, happy, sad, and neutral emotions are used to statistically analyze the effects of emotion, POS tag type, position of the tag, and speaker factors on tag duration, energy, and F0 variables. It is found that the main effects of emotion, tag type, and position are signiﬁcant. Results also show that the effect of emotion is signif-icantly dependent on position, but not on POS tag type. The effect of position is noticeable. POS tags located in the ﬁrst half of sentences have shorter durations, higher energy, and higher F0 values.",2007.0,9.0,9.0,{'pages': '626-629'},"{'bibtex': '@Inproceedings{Bulut2007AnalysisOE,\n author = {M. Bulut and Sungbok Lee and Shrikanth S. Narayanan},\n pages = {626-629},\n title = {Analysis of emotional speech prosody in terms of part of speech tags},\n year = {2007}\n}\n'}","[{'authorId': '38816202', 'name': 'M. Bulut'}, {'authorId': '2108057415', 'name': 'Sungbok Lee'}, {'authorId': '145254843', 'name': 'Shrikanth S. Narayanan'}]"
22,015a98622963e1c009ffa276653cab2bc6b66c62,Reactive Path Planning in a Dynamic Environment,"This paper deals with the problem of path planning in a dynamic environment, where the workspace is cluttered with unpredictably moving objects. The concept of the virtual plane is introduced and used to create reactive kinematic-based navigation laws. A virtual plane is an invertible transformation equivalent to the workspace, which is constructed by using a local observer. This results in important simplifications of the collision detection process. Based on the virtual plane, it is possible to determine the intervals of the linear velocity and the paths that lead to collisions with moving obstacles and then derive a dynamic window for the velocity and the orientation to navigate the robot safely. The speed of the robot and the orientation angle are controlled independently using simple collision cones and collision windows constructed from the virtual plane. The robot's path is controlled using kinematic-based navigation laws that depend on navigation parameters. These parameters are tuned in real time to adjust the path of the robot. Simulation is used to illustrate collision detection and path planning.",2009.0,41.0,109.0,"{'volume': '25', 'pages': '902-911', 'name': 'IEEE Transactions on Robotics'}","{'bibtex': '@Article{Belkhouche2009ReactivePP,\n author = {F. Belkhouche},\n journal = {IEEE Transactions on Robotics},\n pages = {902-911},\n title = {Reactive Path Planning in a Dynamic Environment},\n volume = {25},\n year = {2009}\n}\n'}","[{'authorId': '3294024', 'name': 'F. Belkhouche'}]"
23,015d05058978f175bfce8337e4a12786a47c863d,Animated agents and learning: Does the type of verbal feedback they provide matter?,,2013.0,68.0,85.0,"{'volume': '67', 'pages': '239-249', 'name': 'Comput. Educ.'}","{'bibtex': '@Article{Lin2013AnimatedAA,\n author = {Lijia Lin and R. Atkinson and Robert Christopherson and Stacey S. Joseph and C. J. Harrison},\n journal = {Comput. Educ.},\n pages = {239-249},\n title = {Animated agents and learning: Does the type of verbal feedback they provide matter?},\n volume = {67},\n year = {2013}\n}\n'}","[{'authorId': '2411342', 'name': 'Lijia Lin'}, {'authorId': '1737845', 'name': 'R. Atkinson'}, {'authorId': '144115759', 'name': 'Robert Christopherson'}, {'authorId': '13984591', 'name': 'Stacey S. Joseph'}, {'authorId': '2209906', 'name': 'C. J. Harrison'}]"
25,0167444760bac9375646a4a27733c62c31a7a03f,Using Association Rules to Discover Color-Emotion Relationships Based on Social Tagging,,2010.0,21.0,15.0,{'pages': '544-553'},"{'bibtex': '@Inproceedings{Feng2010UsingAR,\n author = {Haifeng Feng and Marie-Jeanne Lesot and Marcin Detyniecki},\n pages = {544-553},\n title = {Using Association Rules to Discover Color-Emotion Relationships Based on Social Tagging},\n year = {2010}\n}\n'}","[{'authorId': '2113274493', 'name': 'Haifeng Feng'}, {'authorId': '1795158', 'name': 'Marie-Jeanne Lesot'}, {'authorId': '1762116', 'name': 'Marcin Detyniecki'}]"
26,01b36f49b6bb03a5cc51ca4deee2de9be88fc274,Evaluation of the Robot Assisted Sign Language Tutoring Using Video-Based Studies,,2012.0,20.0,40.0,"{'volume': '4', 'pages': '273-283', 'name': 'International Journal of Social Robotics'}","{'bibtex': '@Article{Kose-Bagci2012EvaluationOT,\n author = {H. Kose-Bagci and R. Yorganci and Esra H. Algan and D. Syrdal},\n journal = {International Journal of Social Robotics},\n pages = {273-283},\n title = {Evaluation of the Robot Assisted Sign Language Tutoring Using Video-Based Studies},\n volume = {4},\n year = {2012}\n}\n'}","[{'authorId': '1399283111', 'name': 'H. Kose-Bagci'}, {'authorId': '2529764', 'name': 'R. Yorganci'}, {'authorId': '2652930', 'name': 'Esra H. Algan'}, {'authorId': '1700812', 'name': 'D. Syrdal'}]"
27,01b70ea827a66002eef59926895eb3ab5551df56,A virtual reality approach to mindfulness skills training,,2019.0,51.0,53.0,"{'volume': '24', 'pages': '143-149', 'name': 'Virtual Reality'}","{'bibtex': '@Article{Chandrasiri2019AVR,\n author = {Amaya Chandrasiri and J. Collett and Eric Fassbender and Alexander De Foe},\n journal = {Virtual Reality},\n pages = {143-149},\n title = {A virtual reality approach to mindfulness skills training},\n volume = {24},\n year = {2019}\n}\n'}","[{'authorId': '72172166', 'name': 'Amaya Chandrasiri'}, {'authorId': '71567294', 'name': 'J. Collett'}, {'authorId': '1807413', 'name': 'Eric Fassbender'}, {'authorId': '51041595', 'name': 'Alexander De Foe'}]"
28,01cba8ee70b61db03ec9bf33bdf4c45c0ffa64fe,"Sequential Sales, Learning, and Cascades","When IPO shares are sold sequentially, later potential investors can learn from the purchasing decisions of earlier investors. This can lead rapidly to ""cascades"" in which subsequent investors optimally ignore their private information and imitate earlier investors. Although rationing in this situation gives rise to a winner's curse, it is irrelevant. The model predicts that: (1) Offerings succeed or fail rapidly. (2) Demand can be so elastic that even risk-neutral issuers underprice to completely avoid failure. (3) Issues with good inside information can price their shares so high that they sometimes fail. (4) An underwriter may want to reduce the communication among investors by spreading the selling effort over a more segmented market. Copyright 1992 by American Finance Association.",1992.0,19.0,1265.0,"{'volume': '47', 'pages': '695-732', 'name': 'Journal of Finance'}","{'bibtex': '@Article{Welch1992SequentialSL,\n author = {I. Welch},\n journal = {Journal of Finance},\n pages = {695-732},\n title = {Sequential Sales, Learning, and Cascades},\n volume = {47},\n year = {1992}\n}\n'}","[{'authorId': '40296843', 'name': 'I. Welch'}]"
29,01d2859e025f7fcb28440c0f80d840cc92dcb412,Treatment of social anxiety disorder using online virtual environments in second life.,,2013.0,73.0,78.0,"{'volume': '44 1', 'pages': '\n          51-61\n        ', 'name': 'Behavior therapy'}","{'bibtex': '@Article{Yuen2013TreatmentOS,\n author = {Erica K. Yuen and J. Herbert and E. Forman and E. Goetter and R. Comer and J. Bradley},\n journal = {Behavior therapy},\n pages = {\n          51-61\n        },\n title = {Treatment of social anxiety disorder using online virtual environments in second life.},\n volume = {44 1},\n year = {2013}\n}\n'}","[{'authorId': '3441542', 'name': 'Erica K. Yuen'}, {'authorId': '5886958', 'name': 'J. Herbert'}, {'authorId': '3489040', 'name': 'E. Forman'}, {'authorId': '4987258', 'name': 'E. Goetter'}, {'authorId': '35056499', 'name': 'R. Comer'}, {'authorId': '153031385', 'name': 'J. Bradley'}]"
30,021125dc144c0dcfd164706dcf4fc8954eeaa82d,Guide to the Networked Minds Social Presence Inventory v. 1.2,"This document introduces the Networked 
Minds Social Presence Inventory. The 
inventory is a self-report measure of social 
presence, which is commonly defined as the 
sense of being together with another in a 
mediated environment. The guidelines 
provide background on the use of the social 
presence scales in studies of users’ social 
communication and interaction with other 
humans or with artificially intelligent agents 
in virtual environments.",2003.0,0.0,44.0,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Biocca2003GuideTT,\n author = {F. Biocca and Chad Harms},\n title = {Guide to the Networked Minds Social Presence Inventory v. 1.2},\n year = {2003}\n}\n'}","[{'authorId': '1726689', 'name': 'F. Biocca'}, {'authorId': '34303570', 'name': 'Chad Harms'}]"
31,021183a31462a141c276d14a884ac7ccccc80fa7,The Effects of a Normative Intervention on Group Decision-Making Performance,,1970.0,7.0,309.0,"{'volume': '23', 'pages': '299 - 317', 'name': 'Human Relations'}","{'bibtex': '@Article{Hall1970TheEO,\n author = {Jay Hall and W. Watson},\n journal = {Human Relations},\n pages = {299 - 317},\n title = {The Effects of a Normative Intervention on Group Decision-Making Performance},\n volume = {23},\n year = {1970}\n}\n'}","[{'authorId': '104928470', 'name': 'Jay Hall'}, {'authorId': '143792320', 'name': 'W. Watson'}]"
32,021befb68b5de426bea2512c94cf3c4e356ff727,The curious history of the five-factor model.,,1996.0,0.0,148.0,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Digman1996TheCH,\n author = {J. M. Digman},\n title = {The curious history of the five-factor model.},\n year = {1996}\n}\n'}","[{'authorId': '3969220', 'name': 'J. M. Digman'}]"
