,paperId,title,abstract,year,referenceCount,citationCount,isOpenAccess,openAccessPdf,journal,citationStyles,authors
11,01005b0cee748cefff2074912d23d6df46339463,A second chance.,"The results of a gene therapy trial for a disease called spinal muscular atrophy that gradually paralyzes infants have blown away gene therapy researchers, marking one of the once-troubled field9s most dramatic successes yet. All 15 babies treated, expected to die by age 2, are alive at 20 months or older, and most can sit up, according to a report this week. The news adds to the rising fortunes of gene therapy. But the study also breaks ground because it demonstrates the power of a virus carrying a therapeutic gene that, infused into a vein, can carry its genetic cargo straight to the central nervous system, across the so-called blood-brain barrier. The new treatment9s apparent safety and success is emboldening other researchers to use gene therapy delivered into a vein or the spine to treat rare childhood neurological and muscular diseases, and even common adult disorders such as Parkinson9s.",2017.0,0.0,15.0,False,,"{'volume': '358 6363', 'pages': '\n          582-585\n        ', 'name': 'Science'}","{'bibtex': '@Article{Kaiser2017ASC,\n author = {J. Kaiser},\n journal = {Science},\n pages = {\n          582-585\n        },\n title = {A second chance.},\n volume = {358 6363},\n year = {2017}\n}\n'}","[{'authorId': '144662861', 'name': 'J. Kaiser'}]"
12,01084f285f5112bcf9b85baefebd4e56b5bd7603,Authoring Issues beyond Tools,,2009.0,21.0,60.0,True,"{'url': 'https://archive-ouverte.unige.ch/unige:48231/ATTACHMENT01', 'status': None}",{'pages': '50-61'},"{'bibtex': '@Inproceedings{Spierling2009AuthoringIB,\n author = {Ulrike Spierling and N. Szilas},\n pages = {50-61},\n title = {Authoring Issues beyond Tools},\n year = {2009}\n}\n'}","[{'authorId': '1708038', 'name': 'Ulrike Spierling'}, {'authorId': '1691377', 'name': 'N. Szilas'}]"
13,010a070e57067a56271d8b4056fcd55a9fb54e9b,Traversable interfaces between real and virtual worlds,"Traversable interfaces establish the illusion that virtual and physical worlds are joined together and that users can physically cross from one to the other. Our design for a traversable interface combines work on tele-embodiment, mixed reality boundaries and virtual environments. It also exploits non-solid projection surfaces, of which we describe four examples. Our design accommodates the perspectives of users who traverse the interface and also observers who are present in the connected physical and virtual worlds, an important consideration for performance and entertainment applications. A demonstrator supports encounters between members of our laboratory and remote visitors.",2000.0,12.0,69.0,True,"{'url': 'https://dl.acm.org/doi/pdf/10.1145/332040.332437', 'status': None}",{'name': 'Proceedings of the SIGCHI conference on Human Factors in Computing Systems'},"{'bibtex': '@Article{Koleva2000TraversableIB,\n author = {B. Koleva and Holger Schnädelbach and S. Benford and C. Greenhalgh},\n journal = {Proceedings of the SIGCHI conference on Human Factors in Computing Systems},\n title = {Traversable interfaces between real and virtual worlds},\n year = {2000}\n}\n'}","[{'authorId': '1711147', 'name': 'B. Koleva'}, {'authorId': '1683674', 'name': 'Holger Schnädelbach'}, {'authorId': '1738239', 'name': 'S. Benford'}, {'authorId': '145470354', 'name': 'C. Greenhalgh'}]"
14,010a73b65480dd48ac90b831630fb96c061ffff7,"Eliciting positive, negative and mixed emotional states: A film library for affective scientists","We describe the creation of a film library designed for researchers interested in positive (amusing), negative (repulsive), mixed (amusing and repulsive) and neutral emotional states. Three hundred 20- to 33-second film clips videotaped by amateurs were selected from video-hosting websites and screened in laboratory studies by 75 female participants on self-reported amusement and repulsion (Experiments 1 and 2). On the basis of pre-defined cut-off values, 51 positive, 39 negative, 59 mixed and 50 neutral film clips were selected. These film clips were then presented to 411 male and female participants in a large online study to identify film clips that reliably induced the target emotions (Experiment 3). Depending on the goal of the study, researchers may choose positive, negative, mixed or neutral emotional film clips on the basis of Experiments 1 and 2 or Experiment 3 ratings.",2016.0,35.0,100.0,True,"{'url': 'https://archive-ouverte.unige.ch/unige:97929/ATTACHMENT01', 'status': None}","{'volume': '30', 'pages': '827 - 856', 'name': 'Cognition and Emotion'}","{'bibtex': '@Article{Samson2016ElicitingPN,\n author = {Andrea C. Samson and Sylvia D. Kreibig and Blake Soderstrom and A. Ayanna Wade and James J. Gross},\n journal = {Cognition and Emotion},\n pages = {827 - 856},\n title = {Eliciting positive, negative and mixed emotional states: A film library for affective scientists},\n volume = {30},\n year = {2016}\n}\n'}","[{'authorId': '2255000395', 'name': 'Andrea C. Samson'}, {'authorId': '3279362', 'name': 'Sylvia D. Kreibig'}, {'authorId': '47465771', 'name': 'Blake Soderstrom'}, {'authorId': '2255248464', 'name': 'A. Ayanna Wade'}, {'authorId': '2254966886', 'name': 'James J. Gross'}]"
15,012e38687170cbe081ebf52aba42ec4181d37154,German Translation of the Multimodal Presence Scale,,2018.0,0.0,6.0,False,,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Volkmann2018GermanTO,\n author = {Torben Volkmann and Daniel Wessel and Nicole Jochems and T. Franke},\n title = {German Translation of the Multimodal Presence Scale},\n year = {2018}\n}\n'}","[{'authorId': '2912133', 'name': 'Torben Volkmann'}, {'authorId': '144487430', 'name': 'Daniel Wessel'}, {'authorId': '3175598', 'name': 'Nicole Jochems'}, {'authorId': '144935541', 'name': 'T. Franke'}]"
16,013589f4feac0ce46856c67e4f7cd2125376e68c,"Toward the holodeck: integrating graphics, sound, character and story","We describe an initial prototype of a holodeck- like environment that we have created for the Mission Rehearsal Exercise Project. The goal of the project is to create an experience learning system where the participants are immersed in an environment where they can encounter the sights, sounds, and circumstances of real-world scenarios. Virtual humans act as characters and coaches in an interactive story with pedagogical goals.",2001.0,17.0,280.0,False,,{'pages': '409-416'},"{'bibtex': '@Inproceedings{Hill2001TowardTH,\n author = {R. Hill and J. Gratch and W. Johnson and C. Kyriakakis and C. LaBore and Richard Lindheim and S. Marsella and D. Miraglia and B. Moore and Jackie Morie and J. Rickel and M. Thiébaux and Larry Tuch and R. Whitney and J. Douglas and W. Swartout},\n pages = {409-416},\n title = {Toward the holodeck: integrating graphics, sound, character and story},\n year = {2001}\n}\n'}","[{'authorId': '1812270', 'name': 'R. Hill'}, {'authorId': '69014762', 'name': 'J. Gratch'}, {'authorId': '145834590', 'name': 'W. Johnson'}, {'authorId': '3074189', 'name': 'C. Kyriakakis'}, {'authorId': '2407818', 'name': 'C. LaBore'}, {'authorId': '2178316', 'name': 'Richard Lindheim'}, {'authorId': '1788771', 'name': 'S. Marsella'}, {'authorId': '35080984', 'name': 'D. Miraglia'}, {'authorId': '118985925', 'name': 'B. Moore'}, {'authorId': '30625490', 'name': 'Jackie Morie'}, {'authorId': '2019292', 'name': 'J. Rickel'}, {'authorId': '2096971', 'name': 'M. Thiébaux'}, {'authorId': '1879270', 'name': 'Larry Tuch'}, {'authorId': '143660353', 'name': 'R. Whitney'}, {'authorId': '47722403', 'name': 'J. Douglas'}, {'authorId': '1684040', 'name': 'W. Swartout'}]"
17,01396f643a02a6a04749da068adc266d9c23de99,Characteristics of personal space during obstacle circumvention in physical and virtual environments.,,2008.0,20.0,134.0,False,,"{'volume': '27 2', 'pages': '\n          239-47\n        ', 'name': 'Gait & posture'}","{'bibtex': '@Article{Gérin-Lajoie2008CharacteristicsOP,\n author = {Martin Gérin-Lajoie and C. Richards and J. Fung and B. McFadyen},\n journal = {Gait & posture},\n pages = {\n          239-47\n        },\n title = {Characteristics of personal space during obstacle circumvention in physical and virtual environments.},\n volume = {27 2},\n year = {2008}\n}\n'}","[{'authorId': '1422621837', 'name': 'Martin Gérin-Lajoie'}, {'authorId': '1852074', 'name': 'C. Richards'}, {'authorId': '40228054', 'name': 'J. Fung'}, {'authorId': '1862105', 'name': 'B. McFadyen'}]"
18,014391a96dac9a6b637ff2a0570bd30fae4a8d49,SimConnector: An approach to testing disaster-alerting systems using agent based simulation models,"The design, development and testing of intelligent disaster detection and alerting systems pose a set of non-trivial problems. Not only are such systems difficult to design as they need to accurately predict real-world outcomes using a distributed sensing of various parameters, they also need to generate an optimal number of timely alerts when the actual disaster strikes. In this paper, we propose the SimConnector Emulator, a novel approach for the testing of real-world systems using agent-based simulations as a means of validation. The basic idea is to use agent-based simulations to generate event data to allow the testing of responses of the software system to real-time events. As proof of concept, we have developed a Forest Fire Disaster Detection and Alerting System, which uses Intelligent Decision Support based on an internationally recognized Fire rating index, namely the Fire Weather Index (FWI). Results of extensive testing demonstrate the effectiveness of the SimCon-nector approach for the development and testing of real-time applications, in general and disaster detection/alerting systems, in particular.",2011.0,31.0,4.0,False,,"{'pages': '659-665', 'name': '2011 Federated Conference on Computer Science and Information Systems (FedCSIS)'}","{'bibtex': '@Article{Niazi2011SimConnectorAA,\n author = {M. Niazi and Qasim Siddique and A. Hussain and G. Fortino},\n journal = {2011 Federated Conference on Computer Science and Information Systems (FedCSIS)},\n pages = {659-665},\n title = {SimConnector: An approach to testing disaster-alerting systems using agent based simulation models},\n year = {2011}\n}\n'}","[{'authorId': '1795560', 'name': 'M. Niazi'}, {'authorId': '2073401', 'name': 'Qasim Siddique'}, {'authorId': '144664815', 'name': 'A. Hussain'}, {'authorId': '1691577', 'name': 'G. Fortino'}]"
19,0160f70c259a4febcc88b8326f994e2f6144bcc4,"Advanced statistics: bootstrapping confidence intervals for statistics with ""difficult"" distributions.","The use of confidence intervals in reporting results of research has increased dramatically and is now required or highly recommended by editors of many scientific journals. Many resources describe methods for computing confidence intervals for statistics with mathematically simple distributions. Computing confidence intervals for descriptive statistics with distributions that are difficult to represent mathematically is more challenging. The bootstrap is a computationally intensive statistical technique that allows the researcher to make inferences from data without making strong distributional assumptions about the data or the statistic being calculated. This allows the researcher to estimate confidence intervals for statistics that do not have simple sampling distributions (e.g., the median). The purposes of this article are to describe the concept of bootstrapping, to demonstrate how to estimate confidence intervals for the median and the Spearman rank correlation coefficient for non-normally-distributed data from a recent clinical study using two commonly used statistical software packages (SAS and Stata), and to discuss specific limitations of the bootstrap.",2005.0,12.0,345.0,True,"{'url': 'https://onlinelibrary.wiley.com/doi/pdfdirect/10.1197/j.aem.2004.11.018', 'status': None}","{'volume': '12 4', 'pages': '\n          360-5\n        ', 'name': 'Academic emergency medicine : official journal of the Society for Academic Emergency Medicine'}","{'bibtex': '@Article{Haukoos2005AdvancedSB,\n author = {J. Haukoos and R. Lewis},\n journal = {Academic emergency medicine : official journal of the Society for Academic Emergency Medicine},\n pages = {\n          360-5\n        },\n title = {Advanced statistics: bootstrapping confidence intervals for statistics with ""difficult"" distributions.},\n volume = {12 4},\n year = {2005}\n}\n'}","[{'authorId': '3595598', 'name': 'J. Haukoos'}, {'authorId': '46328172', 'name': 'R. Lewis'}]"
20,0173ca962e4ab3d084c89568345e06f67d3d7efc,Hyperparameter Search in Machine Learning,"We introduce the hyperparameter search problem in the field of machine learning and discuss its main challenges from an optimization perspective. Machine learning methods attempt to build models that capture some element of interest based on given data. Most common learning algorithms feature a set of hyperparameters that must be determined before training commences. The choice of hyperparameters can significantly affect the resulting model's performance, but determining good values can be complex; hence a disciplined, theoretically sound search strategy is essential.",2015.0,48.0,355.0,False,,"{'volume': 'abs/1502.02127', 'name': 'ArXiv'}","{'bibtex': '@Article{Claesen2015HyperparameterSI,\n author = {M. Claesen and B. Moor},\n journal = {ArXiv},\n title = {Hyperparameter Search in Machine Learning},\n volume = {abs/1502.02127},\n year = {2015}\n}\n'}","[{'authorId': '48461464', 'name': 'M. Claesen'}, {'authorId': '143750713', 'name': 'B. Moor'}]"
21,01899e2f860ce17249b1c7d0e007a8570bbc237c,A virtual agent to sustaining children's engagement in language learning,"In this thesis we aimed to explore the potential of gamification defined as “the use of game elements in non-game contexts” [30] in increasing children's (aged 5 to 6) engagement with the task. This is mainly due to the fact that our world is living a technological era, and videogames are an example of this engagement by being able to maintain children’s (and adults) engagement for hours straight. For the purpose of limiting complexity, we only addressed the feedback element by introducing it with an anthropomorphic virtual agent (human-like aspect), because research shows that virtual agents (VA’s) can influence behavioural change [17], or even induce emotions on humans both through the use of feedback provided and their facial expressions, which can interpreted in the same way as of humans’ [2]. By pairing the VA with the gamification concept, we wanted to 1) create a VA that is likely to be well-received by children (appearance and behaviour), and 2) have the immediate feedback that games have, so we can give children an assessment of their actions in real-time, as opposed to waiting for feedback from someone (traditional teaching), and with this give students more chances to succeed [32, 43]. Our final system consisted on a virtual environment, where children formed words that corresponded to a given image. In order to measure the impact that the VA had on engagement, the system was developed in two versions: one version of the system was limited to provide a simple feedback environment, where the VA provided feedback, by responding with simple phrases (i.e. “correct” or “incorrect”); for the second version, the VA had a more complex approach where it tried to encourage children to complete the word – a motivational feedback even when they weren’t succeeding. Lastly we conducted a field study with two groups of children, where one group tested the version with the simple feedback, and the other group tested the ‘motivational’ version of the system. We used a quantitative approach to analyze the collected data that measured the engagement, based on the number of tasks (words) completed and time spent with system. The results of the evaluation showed that the use of motivational feedback may carry a positive effect on engaging children.",2016.0,75.0,0.0,False,,"{'name': '', 'volume': ''}","{'bibtex': ""@Inproceedings{Abreu2016AVA,\n author = {Jhair Chisuikafue Amaya Abreu},\n title = {A virtual agent to sustaining children's engagement in language learning},\n year = {2016}\n}\n""}","[{'authorId': '119279125', 'name': 'Jhair Chisuikafue Amaya Abreu'}]"
22,01b36f49b6bb03a5cc51ca4deee2de9be88fc274,Evaluation of the Robot Assisted Sign Language Tutoring Using Video-Based Studies,,2012.0,20.0,40.0,False,,"{'volume': '4', 'pages': '273-283', 'name': 'International Journal of Social Robotics'}","{'bibtex': '@Article{Kose-Bagci2012EvaluationOT,\n author = {H. Kose-Bagci and R. Yorganci and Esra H. Algan and D. Syrdal},\n journal = {International Journal of Social Robotics},\n pages = {273-283},\n title = {Evaluation of the Robot Assisted Sign Language Tutoring Using Video-Based Studies},\n volume = {4},\n year = {2012}\n}\n'}","[{'authorId': '1399283111', 'name': 'H. Kose-Bagci'}, {'authorId': '2529764', 'name': 'R. Yorganci'}, {'authorId': '2652930', 'name': 'Esra H. Algan'}, {'authorId': '1700812', 'name': 'D. Syrdal'}]"
23,01b9736851e561a3140b5f9e365cbbc3956ae221,How virtual reality training can win friends and influence people,,2013.0,1.0,17.0,False,,"{'volume': '', 'name': ''}","{'bibtex': '@Inproceedings{Hart2013HowVR,\n author = {John Hart and J. Gratch and S. Marsella},\n title = {How virtual reality training can win friends and influence people},\n year = {2013}\n}\n'}","[{'authorId': '145074235', 'name': 'John Hart'}, {'authorId': '145438097', 'name': 'J. Gratch'}, {'authorId': '1788771', 'name': 'S. Marsella'}]"
24,02188f575123a175f9afb6edb91f845a8d2da8c4,"A Review on Mixed Reality: Current Trends, Challenges and Prospects","Currently, new technologies have enabled the design of smart applications that are used as decision-making tools in the problems of daily life. The key issue in designing such an application is the increasing level of user interaction. Mixed reality (MR) is an emerging technology that deals with maximum user interaction in the real world compared to other similar technologies. Developing an MR application is complicated, and depends on the different components that have been addressed in previous literature. In addition to the extraction of such components, a comprehensive study that presents a generic framework comprising all components required to develop MR applications needs to be performed. This review studies intensive research to obtain a comprehensive framework for MR applications. The suggested framework comprises five layers: the first layer considers system components; the second and third layers focus on architectural issues for component integration; the fourth layer is the application layer that executes the architecture; and the fifth layer is the user interface layer that enables user interaction. The merits of this study are as follows: this review can act as a proper resource for MR basic concepts, and it introduces MR development steps and analytical models, a simulation toolkit, system types, and architecture types, in addition to practical issues for stakeholders such as considering MR different domains.",2020.0,118.0,121.0,True,"{'url': 'https://www.mdpi.com/2076-3417/10/2/636/pdf?version=1579169182', 'status': None}",{'name': 'Applied Sciences'},"{'bibtex': '@Article{Rokhsaritalemi2020ARO,\n author = {Somaiieh Rokhsaritalemi and A. Sadeghi-Niaraki and Soo-Mi Choi},\n journal = {Applied Sciences},\n title = {A Review on Mixed Reality: Current Trends, Challenges and Prospects},\n year = {2020}\n}\n'}","[{'authorId': '1411298447', 'name': 'Somaiieh Rokhsaritalemi'}, {'authorId': '1403015408', 'name': 'A. Sadeghi-Niaraki'}, {'authorId': '7236280', 'name': 'Soo-Mi Choi'}]"
